cell_id,lat_center,lon_center,date,RH
c0009,41.201023,14.627356,2020-03-17,67.76357443304282
c0009,41.201023,14.627356,2020-03-18,63.30048936007748
c0009,41.201023,14.627356,2020-03-19,57.2657275707614
c0009,41.201023,14.627356,2020-03-20,65.16495265574262
c0009,41.201023,14.627356,2020-03-21,65.17306369628078
c0009,41.201023,14.627356,2020-03-22,75.16050977834452
c0009,41.201023,14.627356,2020-03-23,56.79997658934997
c0009,41.201023,14.627356,2020-03-24,65.83101168586339
c0009,41.201023,14.627356,2020-03-25,84.97595742282076
c0009,41.201023,14.627356,2020-03-26,96.22585629344992
c0009,41.201023,14.627356,2020-03-27,85.67957405910397
c0009,41.201023,14.627356,2020-03-28,78.97081245825919
c0009,41.201023,14.627356,2020-03-29,73.73760795732753
c0009,41.201023,14.627356,2020-03-30,66.94647919421588
c0009,41.201023,14.627356,2020-03-31,84.33995675086688
c0009,41.201023,14.627356,2020-04-01,60.6384976611255
c0009,41.201023,14.627356,2020-04-02,58.80787201982986
c0009,41.201023,14.627356,2020-04-03,71.13553251259938
c0009,41.201023,14.627356,2020-04-04,61.38853969196133
c0009,41.201023,14.627356,2020-04-05,64.89256585394259
c0009,41.201023,14.627356,2020-04-06,63.09279218836769
c0009,41.201023,14.627356,2020-04-07,57.43437790870058
c0009,41.201023,14.627356,2020-04-08,55.665594095746165
c0009,41.201023,14.627356,2020-04-09,49.974669141540154
c0009,41.201023,14.627356,2020-04-10,51.462524990119825
c0009,41.201023,14.627356,2020-04-11,53.392181715510205
c0009,41.201023,14.627356,2020-04-12,58.43642438890851
c0009,41.201023,14.627356,2020-04-13,67.36020426247384
c0009,41.201023,14.627356,2020-04-14,76.21897454464813
c0009,41.201023,14.627356,2020-04-15,59.62617076666691
c0009,41.201023,14.627356,2020-04-16,56.401954871068774
c0009,41.201023,14.627356,2020-04-17,67.97383026974401
c0009,41.201023,14.627356,2020-04-18,78.61063794573086
c0009,41.201023,14.627356,2020-04-19,73.84685205889853
c0009,41.201023,14.627356,2020-04-20,89.93176225323683
