cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,38.133888244628906,38.307315,16.069384,2022-05-31,
c0511,15.22652816772461,38.307315,16.069384,2022-06-01,-0.6976177569789191
c0511,34.867156982421875,38.307315,16.069384,2022-06-02,
c0511,45.6834602355957,38.307315,16.069384,2022-06-03,-0.6694520631493712
c0511,27.423967361450195,38.307315,16.069384,2022-06-04,
c0511,51.733367919921875,38.307315,16.069384,2022-06-05,
c0511,27.73175621032715,38.307315,16.069384,2022-06-06,-0.684191233323266
c0511,33.55596923828125,38.307315,16.069384,2022-06-07,
c0511,58.70082092285156,38.307315,16.069384,2022-06-08,-0.6732775546238917
c0511,86.10350036621094,38.307315,16.069384,2022-06-09,
c0511,14.873751640319824,38.307315,16.069384,2022-06-10,
c0511,16.335214614868164,38.307315,16.069384,2022-06-11,-0.3567838890788455
c0511,5.013134002685547,38.307315,16.069384,2022-06-12,
c0511,14.666913032531738,38.307315,16.069384,2022-06-13,-0.1441818719341958
c0511,10.50702667236328,38.307315,16.069384,2022-06-14,
c0511,35.34638595581055,38.307315,16.069384,2022-06-15,
c0511,21.380306243896484,38.307315,16.069384,2022-06-16,-0.6432451098226011
c0511,31.088449478149418,38.307315,16.069384,2022-06-17,
c0511,17.676124572753906,38.307315,16.069384,2022-06-18,-0.1673420574133696
c0511,7.625688076019287,38.307315,16.069384,2022-06-19,
c0511,8.285311698913574,38.307315,16.069384,2022-06-20,
c0511,13.97085666656494,38.307315,16.069384,2022-06-21,-0.6903209139903387
c0511,71.37875366210938,38.307315,16.069384,2022-06-22,
c0511,47.1720085144043,38.307315,16.069384,2022-06-23,-0.6651979677837966
c0511,35.86227798461914,38.307315,16.069384,2022-06-24,
c0511,20.53834342956543,38.307315,16.069384,2022-06-25,
c0511,12.34791374206543,38.307315,16.069384,2022-06-26,-0.6884785808312396
c0511,24.370512008666992,38.307315,16.069384,2022-06-27,
c0511,42.48028564453125,38.307315,16.069384,2022-06-28,-0.6771665426774109
c0511,22.68519401550293,38.307315,16.069384,2022-06-29,
c0511,20.81968688964844,38.307315,16.069384,2022-06-30,
c0511,18.830564498901367,38.307315,16.069384,2022-07-01,-0.6520589174857984
